HIT,SONG,ARTIST,PEAK_POSITION,FIRST_WEEK,WEEKS_ON_CHART,SONG_DISPLAY,ARTIST_DISPLAY,DEBUT_RANK,DANCEABILITY,ENERGY,LOUDNESS,VALENCE,TEMPO,ACOUSTICNESS,SPEECHINESS,INSTRUMENTALNESS,LIVENESS,SPOTIFY_GENRE,TRACK_NAME,TRACK_ARTIST,PLAYLIST_GENRE,PLAYLIST_SUBGENRE,SPOTIFY_POPULARITY,DURATION,GENRE,SENTIMENT_POLARITY,SENTIMENT_SUBJECTIVITY,MENTIONS
0,1 4 all 4 1,east coast family,81,8/22/92,6,1-4-All-4-1,East Coast Family,97,,,,,,,,,,,,,,,,,,0.8164,0.45399999999999996,500
0,1 5,21 savage,86,1/5/19,1,1.5,21 Savage,86,,,,,,,,,,"['atl hip hop', 'pop rap', 'rap', 'trap']",,,,,,,atl hip hop,-0.054547368,0.3186842105263158,26681
1,1 800 273 8255,logic featuring alessia cara khalid,3,5/20/17,41,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,61,,,,,,,,,,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",,,,,,,conscious hip hop,0.28365,0.10999999999999999,774
0,1 dee jay,goody goody,82,11/18/78,5,#1 Dee Jay,Goody Goody,88,0.859,0.376,-16.542,0.902,127.202,0.0536,0.0439,0.0963,0.0605,['pop rap'],,,,,0,206106,pop rap,0.2194,0.18766666666666668,1539
0,1 luv,e 40,71,2/25/95,14,1-Luv,E-40 (Featuring Leviti),92,,,,,,,,,,"['cali rap', 'gangster rap', 'hip hop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'trap', 'west coast rap']",,,,,,,cali rap,0.21339999999999998,0.304,3516
0,1 night,lil yachty,49,8/13/16,20,1 Night,Lil Yachty,88,0.762,0.476,-12.686,0.375,130.007,0.366,0.114,0,0.103,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",,,,,72,243269,atl hip hop,0.28426666666666667,0.31333333333333335,2446
1,1 thing,amerie,8,2/12/05,20,1 Thing,Amerie,100,0.612,0.961,-3.078,0.867,129.873,0.107,0.333,4.17e-05,0.0413,"['alternative r&b', 'dance pop', 'deep pop r&b', 'hip hop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",1 Thing,Amerie,r&b,urban contemporary,59,238760,r&b,0.25050833333333333,0.32175000000000004,6355
1,10 000 hours,dan shay justin bieber,4,10/19/19,30,"10,000 Hours",Dan + Shay & Justin Bieber,4,,,,,,,,,,"['contemporary country', 'pop']",,,,,,,contemporary country,0.089225,0.21524999999999997,1881
0,10 bands,drake,58,2/28/15,13,10 Bands,Drake,88,0.835,0.756,-3.789,0.87,173,0.23,0.382,0,0.0801,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",,,,,66,177733,canadian hip hop,0.14747124183006538,0.27122549019607844,192888
0,10 freaky girls,metro boomin featuring 21 savage,42,11/17/18,4,10 Freaky Girls,Metro Boomin Featuring 21 Savage,42,0.81,0.353,-9.931,0.0727,88.031,0.588,0.31,0,0.102,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",,,,,79,208293,hip hop,-0.55355,0.34825,3051
0,10 little bottles,johnny bond,43,3/13/65,8,10 Little Bottles,Johnny Bond,96,0.451,0.467,-8.304,0.582,91.331,0.898,0.212,0,0.971,"['cowboy western', 'oklahoma country']",,,,,16,245506,cowboy western,0.03825,0.27349999999999997,440
0,100,the game featuring drake,82,8/22/15,10,100,The Game Featuring Drake,90,0.801,0.521,-9.871,0.412,108.025,0.0136,0.28,0,0.179,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",,,,,62,334360,gangster rap,-0.6496,0.281,695
0,100 grandkids,mac miller,100,8/29/15,1,100 Grandkids,Mac Miller,100,0.735,0.749,-3.766,0.373,93.718,0.371,0.0874,0,0.47,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']",,,,,65,278506,hip hop,0.1749864197530864,0.22890123456790124,55973
0,100 mil,j cole bas,14,5/29/21,1,100.mil',J. Cole & Bas,14,,,,,,,,,,,,,,,,,,0.21500000000000002,0.2002,2388
0,100 pure love,crystal waters,11,5/28/94,45,100% Pure Love,Crystal Waters,89,0.813,0.711,-7.375,0.737,120.235,0.0888,0.0477,0.00876,0.0585,"['disco house', 'diva house', 'hip house', 'vocal house']",,,,,54,278626,disco house,0.03722,0.2002,2224
0,100 years,five for fighting,28,2/14/04,22,100 Years,Five For Fighting,70,0.643,0.569,-7.459,0.275,120.507,0.544,0.0276,2.17e-05,0.178,"['acoustic pop', 'neo mellow', 'piano rock', 'pop rock', 'post-grunge']",,,,,66,244600,acoustic pop,0.13354,0.36110000000000003,12983
0,100 years,nancy sinatra,69,3/23/68,6,100 Years,Nancy Sinatra,97,0.383,0.478,-10.247,0.341,98.463,0.54,0.0287,1.81e-05,0.123,"['adult standards', 'brill building pop', 'folk rock', 'lounge']",,,,,13,151510,adult standards,0.081938095,0.2575238095238095,6331
1,1234,feist,8,9/29/07,15,1234,Feist,61,0.71,0.491,-7.382,0.638,109.933,0.219,0.0504,1.99e-06,0.0859,"['art pop', 'canadian indie', 'canadian pop', 'chamber pop', 'indie pop', 'indie rock', 'slow core', 'stomp and holler']",,,,,59,183666,art pop,-0.285622222,0.3041111111111111,6085
0,13 questions,seatrain,49,4/3/71,12,13 Questions,Seatrain,76,,,,,,,,,,[],,,,,,,,-0.5106,0.355,456
0,1400 999 freestyle,trippie redd featuring juice wrld,55,11/24/18,3,1400 / 999 Freestyle,Trippie Redd Featuring Juice WRLD,55,0.825,0.572,-6.067,0.568,141.991,0.0079,0.0864,0,0.113,"['melodic rap', 'rap', 'trap']",,,,,83,175954,melodic rap,0.4707333333333333,0.217,2381
0,143,bobby brackins featuring ray j,76,7/3/10,11,143,Bobby Brackins Featuring Ray J,91,0.834,0.758,-7.135,0.759,98.021,0.0113,0.106,0,0.0238,"['cali rap', 'slow game']",,,,,44,206813,cali rap,0.6369,0.421,1087
0,1432 franklin pike circle hero,bobby russell,36,10/26/68,7,1432 Franklin Pike Circle Hero,Bobby Russell,79,,,,,,,,,,[],,,,,,,,0.6258,0.457625,4006
0,15 minutes,marc nelson,27,10/2/99,16,15 Minutes,Marc Nelson,91,,,,,,,,,,[],,,,,,,,0.10051666666666668,0.12483333333333334,2600
1,16 candles,the crests,2,11/22/58,21,16 Candles,The Crests,91,0.591,0.472,-4.906,0.627,114.097,0.733,0.0261,0,0.0987,"['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll']",,,,,37,172460,brill building pop,0.4368666666666667,0.2648333333333333,948
0,17,rick james,36,7/14/84,14,17,Rick James,75,0.795,0.732,-10.487,0.874,119.315,0.0176,0.0562,0.000784,0.499,"['disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul']",,,,,27,249653,disco,0.079316667,0.2548333333333333,7953
0,17 again,brantley gilbert,90,5/24/14,1,17 Again,Brantley Gilbert,90,0.432,0.872,-4.911,0.67,173.945,0.0108,0.0358,1.14e-05,0.372,"['contemporary country', 'country', 'country road', 'modern country rock']",,,,,42,239773,contemporary country,-0.0460625,0.248,13590
0,18,one direction,87,11/29/14,1,18,One Direction,87,0.681,0.582,-7.76,0.221,124.038,0.22,0.0313,0,0.119,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']",,,,,74,248360,boy band,0.1800175438596491,0.22750877192982455,79440
1,18 and life,skid row,4,7/8/89,20,18 And Life,Skid Row,91,0.466,0.648,-11.101,0.305,90.435,0.0023,0.028,1.49e-05,0.112,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']",18 and Life,Skid Row,rock,hard rock,69,229960,rock,0.036358333,0.2708333333333333,8003
1,18 yellow roses,bobby darin,10,5/11/63,10,18 Yellow Roses,Bobby Darin,93,0.59,0.466,-12.161,0.772,128.291,0.662,0.0306,1.8e-06,0.163,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'motown', 'rock-and-roll', 'rockabilly', 'soul', 'swing', 'vocal jazz']",,,,,27,139640,adult standards,0.13411084337349397,0.22687951807228915,32091
0,19,paul hardcastle,15,6/1/85,14,19,Paul Hardcastle,78,0.753,0.897,-8.54,0.937,117.937,0.00281,0.073,0.73,0.351,"['jazz funk', 'smooth jazz']",,,,,47,210853,jazz funk,-0.21692,0.13319999999999999,2070
0,19 somethin,mark wills,23,11/23/02,20,19 Somethin',Mark Wills,69,0.588,0.813,-5.042,0.818,90.072,0.184,0.076,0,0.0783,"['contemporary country', 'country', 'country road']",,,,,58,200466,contemporary country,0.072464286,0.12107142857142857,6936
0,19 you me,dan shay,42,1/18/14,18,19 You + Me,Dan + Shay,96,0.493,0.67,-5.131,0.451,151.989,0.319,0.0298,0,0.102,"['contemporary country', 'pop']",,,,,63,217406,contemporary country,0.043433333,0.17464444444444444,32096
0,1900 yesterday,liz damons orient express,33,12/26/70,12,1900 Yesterday,Liz Damon's Orient Express,78,0.607,0.238,-17.222,0.402,101.89,0.901,0.0268,0.0014,0.117,[],,,,,29,177693,,-0.296,0.355,309
0,1901,phoenix,84,12/19/09,13,1901,Phoenix,90,0.591,0.831,-5.647,0.705,144.084,0.0605,0.0415,4.67e-05,0.19,"['alternative dance', 'dance-punk', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave']",,,,,66,193106,alternative dance,0.03275,0.28600000000000003,1631
0,1927 kansas city,mike reilly,88,3/13/71,6,1927 Kansas City,Mike Reilly,99,,,,,,,,,,[],,,,,,,,0,0,254
0,1941,tom northcott,88,3/16/68,2,1941,Tom Northcott,88,0.522,0.626,-7.337,0.744,99.707,0.334,0.0304,0,0.194,['sunshine pop'],,,,,0,172693,sunshine pop,0.7003,0.392,668
0,1942,g eazy featuring yo gotti ybn nahmir,70,7/28/18,8,1942,G-Eazy Featuring Yo Gotti & YBN Nahmir,90,0.817,0.646,-5.12,0.835,162.898,0.0152,0.249,0,0.125,"['hip hop', 'indie pop rap', 'pop rap', 'rap']",,,,,72,213080,hip hop,0.18910000000000002,0.069333333,2530
0,1942 flows,meek mill,83,8/12/17,1,1942 Flows,Meek Mill,83,0.63,0.628,-4.016,0.266,121.307,0.0515,0.327,0,0.091,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",,,,,61,282666,hip hop,0.1952214285714286,0.29185714285714287,33806
0,1973,james blunt,73,10/6/07,3,1973,James Blunt,73,0.72,0.668,-7.928,0.768,123.007,0.0652,0.0269,0.00664,0.0789,"['neo mellow', 'pop', 'pop rock']",,,,,69,280026,neo mellow,0.2586846153846154,0.21007692307692308,8750
0,1979,the smashing pumpkins,12,2/10/96,22,1979,The Smashing Pumpkins,20,0.765,0.788,-9.896,0.964,126.879,0.0166,0.0332,0.588,0.0513,"['alternative metal', 'alternative rock', 'grunge', 'modern rock', 'permanent wave', 'pop rock', 'post-grunge', 'rock']",1979 - Remastered 2012,The Smashing Pumpkins,rock,permanent wave,74,266200,rock,0.21514722222222224,0.28588888888888886,22772
0,1984,spirit,69,2/7/70,9,1984,Spirit,96,0.537,0.595,-8.749,0.698,130.988,0.134,0.0442,0.00294,0.0764,[],,,,,13,217133,,-0.162585714,0.32399999999999995,2326
0,1985,bowling for soup,23,9/11/04,20,1985,Bowling For Soup,72,0.606,0.887,-4.404,0.903,119.974,0.000242,0.0598,0,0.337,"['comic', 'pop punk', 'post-grunge', 'texas pop punk']",1985,Bowling For Soup,rock,permanent wave,69,193000,rock,-0.3087,0.351,4627
0,1985,j cole,20,5/5/18,2,1985 (Intro To The Fall Off),J. Cole,20,0.678,0.648,-5.892,0.635,94.336,0.147,0.445,0,0.182,"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']",,,,,70,190176,conscious hip hop,0.1334984251968504,0.21238582677165355,81436
0,1994,jason aldean,52,3/30/13,11,1994,Jason Aldean,93,0.598,0.777,-6.676,0.821,159.942,0.183,0.0396,0,0.111,"['contemporary country', 'country', 'country road']",,,,,53,242680,contemporary country,0.1623724770642202,0.28210091743119264,68661
0,1999,prince,12,10/30/82,30,1999,Prince,81,0.866,0.73,-8.201,0.625,118.523,0.137,0.0767,0,0.0843,"['bachata', 'latin', 'latin pop', 'reggaeton', 'tropical']",1999,Prince,r&b,new jack swing,68,379267,r&b,0.10025970149253732,0.24140298507462685,31410
1,19th nervous breakdown,the rolling stones,2,2/26/66,10,19th Nervous Breakdown,The Rolling Stones,46,0.493,0.824,-7.154,0.825,96.618,0.0162,0.0394,0.0856,0.258,"['album rock', 'british invasion', 'classic rock', 'protopunk', 'rock']",,,,,51,236400,album rock,0.093129252,0.2463265306122449,76172
0,1st of tha month,bone thugs n harmony,14,8/26/95,20,1st Of Tha Month,Bone Thugs-N-Harmony,53,0.729,0.581,-8.235,0.508,74.038,0.0777,0.18,3.81e-06,0.696,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",1st of Tha Month,Bone Thugs-N-Harmony,rap,gangster rap,64,314680,rap,0.086607143,0.15407142857142858,7620
0,1st time,yung joc featuring marques houston trey songz,82,2/24/07,6,1st Time,Yung Joc Featuring Marques Houston & Trey Songz,93,0.686,0.603,-6.112,0.778,133.034,0.0981,0.202,0,0.102,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",,,,,41,267626,atl hip hop,0.42450000000000004,0.395,677
1,2 become 1,spice girls,4,8/16/97,24,2 Become 1,Spice Girls,6,0.646,0.665,-7.878,0.7,143.966,0.326,0.0268,1.97e-05,0.238,"['dance pop', 'europop', 'girl group', 'pop', 'pop rock']",,,,,66,241026,dance pop,0.064046154,0.23946153846153845,18425
1,2 legit 2 quit,m c hammer,5,11/9/91,20,2 Legit 2 Quit,M.C. Hammer,61,,,,,,,,,,[],,,,,,,,0.2122777777777778,0.2862222222222222,12852
0,2 much,justin bieber,68,4/3/21,1,2 Much,Justin Bieber,68,0.583,0.444,-8.601,0.167,119.59,0.593,0.0456,0,0.353,"['canadian pop', 'pop', 'post-teen pop']",,,,,76,152796,canadian pop,0.12454640522875818,0.22041176470588233,100689
0,2 on,tinashe featuring schoolboy q,24,5/24/14,24,2 On,Tinashe Featuring ScHoolboy Q,89,0.742,0.595,-7.51,0.431,101.013,0.15,0.107,0,0.111,"['alternative r&b', 'dance pop', 'deep pop r&b', 'electropop', 'hip pop', 'metropopolis', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",2 On,Tinashe,r&b,hip pop,67,227000,r&b,0.8164,0.45399999999999996,797
0,2 phones,kevin gates,17,1/23/16,25,2 Phones,Kevin Gates,93,0.895,0.681,-5.267,0.554,121.918,0.157,0.358,0,0.189,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2 Phones,Kevin Gates,rap,hip hop,70,240000,rap,0.17452631578947367,0.24157894736842103,13671
0,2 reasons,trey songz featuring t i,43,7/21/12,20,2 Reasons,Trey Songz Featuring T.I.,97,0.734,0.746,-5.088,0.539,94.033,0.00135,0.0762,0,0.178,"['dance pop', 'pop', 'pop rap', 'r&b', 'trap', 'urban contemporary']",,,,,53,197626,dance pop,0.10606666666666666,0.12166666666666666,1743
0,2 step,unk,24,2/24/07,21,2 Step,Unk,94,0.721,0.72,-6.145,0.643,76.976,0.0564,0.192,0,0.173,"['atl hip hop', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",,,,,53,322933,atl hip hop,0.08278,0.21880000000000002,2814
0,2 way street,missjones,62,7/4/98,13,2 Way Street,Missjones,82,,,,,,,,,,[],,,,,,,,-0.163785714,0.086142857,3243
0,20 20,george benson,48,12/15/84,13,20/20,George Benson,85,,,,,,,,,,"['adult standards', 'disco', 'jazz funk', 'jazz guitar', 'motown', 'quiet storm', 'smooth jazz', 'soft rock', 'soul', 'soul jazz', 'yacht rock']",,,,,,,adult standards,0.4769928571428571,0.3482857142857143,20203
0,20 20,lil tjay,94,1/18/20,1,20/20,Lil Tjay,94,0.886,0.336,-12.779,0.536,100.044,0.557,0.239,0,0.0933,"['brooklyn drill', 'melodic rap', 'nyc rap']",20/20,Lil Tjay,rap,hip hop,79,230448,rap,0.3022,0.236,7893
0,20 75,willie mitchell,31,8/29/64,10,20-75,Willie Mitchell,97,,,,,,,,,,"['classic soul', 'funk', 'instrumental soul', 'memphis soul', 'motown', 'rhythm and blues', 'soul']",,,,,,,classic soul,0.077588889,0.22816666666666663,6589
0,2012,jay sean featuring nicki minaj,31,8/21/10,14,2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,50,0.718,0.801,-2.581,0.538,127.016,0.226,0.0386,0,0.39,"['australian pop', 'dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",,,,,55,222200,australian pop,0,0,530
0,21,polo g,62,5/30/20,8,21,Polo G,62,0.783,0.479,-10.646,0.533,176.027,0.149,0.541,0,0.101,['chicago rap'],,,,,83,163797,chicago rap,0.26077894736842105,0.15981578947368422,29220
0,21 guns,green day,22,7/11/09,20,21 Guns,Green Day,55,0.268,0.742,-4.939,0.416,159.779,0.0518,0.0355,0,0.626,"['modern rock', 'permanent wave', 'punk']",21 Guns,Green Day,pop,post-teen pop,75,321093,pop,0.3150913043478261,0.40995652173913044,15084
1,21 questions,50 cent featuring nate dogg,1,3/22/03,23,21 Questions,50 Cent Featuring Nate Dogg,74,0.547,0.807,-4.083,0.919,79.823,0.388,0.36,9.11e-05,0.0436,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",21 Questions,50 Cent,rap,hip hop,69,224427,rap,0.33072,0.20259999999999997,3804
0,21st century girl,willow,99,3/19/11,1,21st Century Girl,Willow,99,0.832,0.823,-6.097,0.438,127.985,0.02,0.0385,0.84,0.148,"['dance pop', 'electropop', 'pop']",,,,,0,183144,dance pop,0.09287,0.2085,5721
0,22,taylor swift,20,11/10/12,20,22,Taylor Swift,44,0.664,0.739,-6.539,0.703,104.012,0.0027,0.0377,0.00273,0.0742,"['pop', 'post-teen pop']",22,Taylor Swift,pop,post-teen pop,0,231867,pop,0.2634203804347826,0.3289782608695652,236713
0,223s,ynw melly 9lokknine,34,9/21/19,19,223's,YNW Melly & 9lokknine,87,0.932,0.547,-7.787,0.695,94.998,0.0388,0.333,0,0.0924,"['melodic rap', 'rap', 'trap']",223's (feat. 9lokknine),YNW Melly,pop,post-teen pop,85,176640,pop,0.05875,0.13025,3472
0,23,mike will made it featuring miley cyrus wiz khalifa juicy j,11,9/28/13,23,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",70,0.863,0.605,-5.231,0.327,140.031,0.000366,0.0572,3.71e-06,0.132,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",23,Mike WiLL Made-It,rap,southern hip hop,68,252520,rap,-0.023775,0.01975,2620
0,24,money man featuring lil baby,49,8/29/20,14,24,Money Man Featuring Lil Baby,71,,,,,,,,,,,,,,,,,,0.0646,0.20299999999999999,2095
0,24 7,dino,42,2/4/89,14,24/7,Dino,86,,,,,,,,,,"['sevdah', 'turbo folk', 'yugoslav rock']",,,,,,,sevdah,0.081092308,0.2551538461538462,4889
1,24 7,kevon edmonds,10,11/6/99,20,24/7,Kevon Edmonds,83,,,,,,,,,,"['new jack swing', 'r&b', 'urban contemporary']",,,,,,,new jack swing,-0.5216,0.272,560
0,24 7,meek mill featuring ella mai,54,12/15/18,19,24/7,Meek Mill Featuring Ella Mai,54,,,,,,,,,,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",,,,,,,hip hop,0.14784,0.1022,2515
0,24 7,meek mill featuring ella mai,54,12/15/18,19,24/7,Meek Mill Featuring Ella Mai,54,,,,,,,,,,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",,,,,,,hip hop,0.14784,0.1022,2515
0,24 hours,teeflii featuring 2 chainz,85,9/13/14,7,24 Hours,TeeFLii Featuring 2 Chainz,97,0.833,0.638,-9.119,0.399,100.01,0.0392,0.0441,4.83e-06,0.173,"['deep pop r&b', 'west coast trap']",,,,,48,215986,deep pop r&b,0.07955,0.07875,1998
1,24k magic,bruno mars,4,10/29/16,41,24K Magic,Bruno Mars,5,0.818,0.803,-4.282,0.632,106.97,0.034,0.0797,0,0.153,"['dance pop', 'pop']",24K Magic,Bruno Mars,pop,electropop,78,225983,pop,0.2658267857142857,0.2516785714285714,40869
0,24s,t i,78,8/2/03,15,24's,T.I.,99,0.739,0.725,-4.301,0.582,162.06,0.227,0.203,0,0.0991,"['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",24's,T.I.,rap,southern hip hop,0,282907,rap,0.08052439,0.2460487804878049,19477
1,25 or 6 to 4,chicago,4,7/25/70,20,25 Or 6 To 4,Chicago,50,0.604,0.905,-7.059,0.723,147.448,0.309,0.0578,0.0632,0.0837,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",25 or 6 to 4,Chicago,rock,classic rock,39,293093,rock,0.202475,0.28179464285714284,49266
0,25 to life,eminem,92,7/10/10,1,25 To Life,Eminem,92,0.701,0.931,-0.945,0.362,79.996,0.239,0.243,0,0.194,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",,,,,67,241586,detroit hip hop,0.1601404580152672,0.26928244274809165,86484
0,26 cents,the wilkinsons,55,8/1/98,18,26 Cents,The Wilkinsons,84,0.641,0.462,-7.99,0.317,101.067,0.65,0.0265,0,0.159,"['canadian country', 'country']",,,,,35,231400,canadian country,-0.1405,0.29533333333333334,935
0,2u,david guetta featuring justin bieber,16,7/1/17,11,2U,David Guetta Featuring Justin Bieber,16,0.542,0.654,-5.862,0.563,144.971,0.23,0.0537,0,0.241,"['dance pop', 'edm', 'pop']",2U,David Guetta,pop,dance pop,66,194907,pop,0.39209999999999995,0.26366666666666666,2370
1,3,britney spears,1,10/24/09,20,3,Britney Spears,1,0.697,0.709,-1.917,0.787,134.91,0.0452,0.0455,0,0.138,"['dance pop', 'pop', 'post-teen pop']",,,,,65,213173,dance pop,0.071634884,0.2711046511627907,54697
0,3 2 1 pump,redhead kingpin the f b i,52,3/28/92,15,3-2-1 Pump,Redhead Kingpin & The F.B.I.,95,,,,,,,,,,[],,,,,,,,-0.23905,0.11049999999999999,2046
1,3 a m eternal,the klf,5,6/22/91,19,3 A.M. Eternal,The KLF,94,0.616,0.894,-12.781,0.756,117.362,0.000764,0.0555,0.155,0.924,['acid house'],,,,,27,347218,acid house,0.5966,0.39549999999999996,280
0,3 headed goat,lil durk featuring lil baby polo g,43,5/23/20,16,3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,43,,,,,,,,,,,,,,,,,,-0.180766667,0.11099999999999999,1533
0,3 headed snake,gunna featuring young thug,74,3/9/19,1,3 Headed Snake,Gunna Featuring Young Thug,74,0.914,0.415,-10.708,0.646,135.03,0.0536,0.464,0,0.131,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']",,,,,68,241995,atl hip hop,-0.0915,0.272,2715
0,3 little words,nu flavor,89,6/3/00,9,3 Little Words,Nu Flavor,97,0.709,0.469,-7.083,0.256,113.986,0.504,0.0278,0,0.045,['boy band'],,,,,35,256306,boy band,0.19017499999999998,0.324,2946
0,3 peat,lil wayne,66,6/28/08,1,3 Peat,Lil Wayne,66,0.616,0.632,-7.562,0.47,79.811,0.00114,0.386,0,0.0844,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",,,,,58,199426,hip hop,0.023724561403508773,0.20723684210526316,67141
0,30 60 90,willie mitchell,69,2/1/69,5,30-60-90,Willie Mitchell,74,,,,,,,,,,"['classic soul', 'funk', 'instrumental soul', 'memphis soul', 'motown', 'rhythm and blues', 'soul']",,,,,,,classic soul,0.077588889,0.22816666666666663,6589
